Claudine,F,6
Omie,F,5
Worth,M,8
Rosie,F,106
Sol,M,12
Loren,M,22
Lucious,M,10
Perry,M,134
Fern,F,10
Bernie,M,5
Moroni,M,5
Joella,F,6
Isham,M,13
Lugenia,F,10
Naomi,F,32
Elenora,F,8
Ira,M,249
Junious,M,6
Manuela,F,5
Asher,M,6
Eunice,F,67
Amy,F,167
Irma,F,30
Robert,M,2415
Aurelia,F,21
Bell,F,31
Mattie,F,704
Lois,F,53
Nova,M,5
Margaret,F,1578
Celina,F,12
Duff,M,5
Ollie,F,183
Allan,M,20
Mamie,F,436
Evans,M,10
Basil,M,11
Berton,M,8
Bessie,F,796
Hugo,M,24
Leander,M,17
Osie,F,8
Kathrine,F,21
Gertie,F,34
Nonie,F,6
Anderson,M,43
Delia,F,129
Tilmon,M,5
Roderick,M,7
Jefferson,M,43
Sina,F,12
Benjaman,M,12
James,F,22
Ellie,F,17
Mitchell,M,32
Ettie,F,25
Maybelle,F,16
Dan,M,140
Carrie,M,8
Clinton,M,79
Lily,F,41
Julius,M,143
Penelope,F,5
Cloyd,M,12
Alpha,M,6
Verona,F,5
Abbie,F,71
Geneva,F,28
Benjamine,M,13
Leonidas,M,5
Hilda,F,60
Clay,M,18
Fred,M,1569
Millard,M,56
Leonie,F,10
Lonnie,F,13
Clifford,F,6
Arvilla,F,6
Dewitt,M,30
Araminta,F,5
Kathryn,F,204
Alphonso,M,5
Selina,F,10
Anita,F,16
Haywood,M,10
Olin,M,11
Concepcion,F,5
Roxie,F,62
Celestine,F,12
Halsey,M,5
Eloise,F,11
Cyril,M,5
Vesta,F,20
Commodore,M,6
Cleo,F,17
Fernando,M,8
Joe,M,731
Thornton,M,12
Cordie,F,14
Manervia,F,5
George,M,5126
Valentine,M,10
Aron,M,8
Peggy,F,13
Rush,M,12
Lewis,M,517
Junius,M,22
Albion,M,6
Ernst,M,9
Isaac,M,274
Victoria,F,93
Dana,M,12
Mima,F,6
Orrin,M,9
Charley,M,305
Martin,M,357
Louella,F,34
Sannie,F,5
Ivah,F,6
Creola,F,6
Ambrose,M,32
Teresa,F,50
Ocie,F,8
Santiago,M,12
Lafayette,M,22
Matie,F,20
Harriet,F,319
Carol,F,7
Wilson,M,72
Marion,F,115
Jonah,M,8
Anton,M,77
Minor,M,21
